#	#Matsuyoshi D., Watanabe K. (submitted) People have modest, not good, insight into their face recognition ability: a comparison between developmental prosopagnosia questionnaires.
#	#Shah P., Gaule A., Sowden S., Bird G., Cook R. 2015 The 20-item prosopagnosia index (PI20): a self-report instrument for identifying developmental prosopagnosia. R. Soc. Open Sci. 2(6), 150305. (doi:10.1098/rsos.140343).
#	#Kennerknecht I., Ho N.Y., Wong V.C.N. 2008 Prevalence of hereditary prosopagnosia (HPA) in Hong Kong Chinese population. Am. J. Med. Genet. A 146A(22), 2863-2870. (doi:10.1002/ajmg.a.32552).
Item	Text
HK1	映画に出てくる俳優の見分けが簡単につく
HK2	顔を見分けることに問題を持つ家族がいる
HK3	あなたは人の顔を見分けられない人だと言われる
HK4	その顔がよく知っている人かどうかすぐに判断できる
HK5	その人が誰だか分かるまで時間がかかる
HK6	家族の見分けがつく
HK7	赤いバラの形を頭に立体的に思い浮かべることが簡単にできる
HK8	親しい友人の顔を頭に思い浮かべることが簡単にできる
HK9	すぐに有名な人の見分けがつく
HK10	その顔が男性か女性かすぐに判断できる
HK11	新しい場所では迷ってしまう
HK12	顔が魅力的かどうかわかる
HK13	顔から感情を読み取るのが難しい
HK14	親しい人とそうでない人の見分けがつかないので、社交的な場に出ることを避けている
HK15	短時間会っただけの人は、翌日になると誰だか分からない
CONF	周りと比べて人の顔を覚えることが得意な方である
PI1	わたしの顔認識の能力は、ほとんどの人より低い
PI2	いつも顔に関連するいやな思いをしている
PI3	顔に独特の特徴のある人を認識するのはかなり簡単である
PI4	以前に会ったことがある人なのに、初対面だと勘違いしてしまうことがよくある
PI5	学校で（学校にいたころ）同級生を見分けるのが難しかった
PI6	髪型が変わっていたり、帽子をかぶっていたりすると、その人であると認識するのが難しい
PI7	初めて会う人に対して「私はひとの顔を覚えるのが不得意です」と説明しないといけないことが、時々ある
PI8	他人の顔を頭に思い浮かべるのは簡単である
PI9	他人の顔と名前を結びつけるのが、ほかの人よりも得意である
PI10	声を聞かないと、その人がその人であると認識するのが難しい
PI11	他人の顔を認識することに不安があるので、そういったことが特に要求される状況や、社交的な場を避けることがある
PI12	他人の顔を覚えるために、ほかの人より苦労せねばならない
PI13	写真の中から簡単に自分を見つけられる自信がある
PI14	人を見分けるのが難しいので、映画などで話を追うのが難しいことがある
PI15	わたしの友だちや家族は、わたしが顔を覚えたり見分けたりするのが難しいと考えている
PI16	人を見分けられないことで、自分は頻繁に人を傷つけているような気がする
PI17	皆が似たような服（スーツ・制服・水着など）を着ている場合でも、個々人を見分けるのは簡単である
PI18	親戚の集まりで、わたしは時々、人を間違えたりする
PI19	有名人の「有名になる前」の写真で、たとえ大きく変わっていたとしても、わたしはその人がその人だと簡単に分かる
PI20	いつもと違う状況で人に出くわすと、その人だと認識するのが難しい（例えば同僚や同級生とショッピング中に出会うなど）
